species,length,weight,w_l_ratio
Climbing perch,10.66,3.45,0.32
Climbing perch,6.91,3.27,0.47
Climbing perch,8.38,3.46,0.41
Climbing perch,7.57,3.36,0.44
Climbing perch,10.83,3.38,0.31
Climbing perch,9.35,3.28,0.35
Climbing perch,9.42,3.33,0.35
Climbing perch,7.92,3.13,0.39
Climbing perch,6.98,3.16,0.45
Climbing perch,8.42,3.26,0.39
Climbing perch,8.03,3.4,0.42
Climbing perch,10.27,3.16,0.31
Climbing perch,8.43,3.33,0.39
Climbing perch,7.0,3.2,0.46
Climbing perch,7.46,3.25,0.44
Climbing perch,9.41,3.21,0.34
Climbing perch,6.64,3.2,0.48
Climbing perch,8.17,3.3,0.4
Climbing perch,8.85,3.07,0.35
Climbing perch,7.83,3.16,0.4
Climbing perch,10.19,3.24,0.32
Climbing perch,9.21,3.36,0.36
Climbing perch,6.67,3.31,0.5
Climbing perch,8.25,3.32,0.4
Climbing perch,7.21,3.4,0.47
Climbing perch,9.52,3.23,0.34
Climbing perch,7.13,3.2,0.45
Climbing perch,8.97,3.25,0.36
Climbing perch,6.74,3.11,0.46
Climbing perch,7.54,3.21,0.43
Climbing perch,10.81,3.26,0.3
Climbing perch,10.56,3.41,0.32
Climbing perch,7.48,3.11,0.42
Climbing perch,8.74,3.37,0.39
Climbing perch,8.78,3.24,0.37
Climbing perch,7.16,3.48,0.49
Climbing perch,9.47,3.45,0.36
Climbing perch,7.1,3.26,0.46
Climbing perch,7.23,3.31,0.46
Climbing perch,7.88,3.3,0.42
Climbing perch,8.31,3.35,0.4
Climbing perch,7.28,3.2,0.44
Climbing perch,7.52,3.15,0.42
Climbing perch,6.88,3.29,0.48
Climbing perch,8.51,3.48,0.41
Climbing perch,9.21,3.12,0.34
Climbing perch,8.25,3.17,0.38
Climbing perch,10.13,3.34,0.33
Climbing perch,9.84,3.42,0.35
Climbing perch,8.67,3.31,0.38
Climbing perch,8.17,3.3,0.4
Climbing perch,7.45,3.09,0.41
Climbing perch,9.45,3.32,0.35
Climbing perch,7.28,3.3,0.45
Climbing perch,9.92,3.33,0.34
Climbing perch,9.26,3.25,0.35
Climbing perch,6.94,3.29,0.47
Climbing perch,8.03,3.29,0.41
Climbing perch,9.81,3.39,0.35
Climbing perch,7.61,3.29,0.43
Climbing perch,7.87,3.24,0.41
Climbing perch,6.7,3.24,0.48
Climbing perch,7.81,3.37,0.43
Climbing perch,9.74,3.26,0.34
Climbing perch,8.14,3.17,0.39
Climbing perch,7.89,3.25,0.41
Climbing perch,7.34,3.25,0.44
Climbing perch,6.86,3.34,0.49
Climbing perch,7.16,3.2,0.45
Climbing perch,9.43,3.27,0.35
Climbing perch,10.58,3.37,0.32
Climbing perch,7.69,3.31,0.43
Climbing perch,6.39,3.06,0.48
Climbing perch,8.53,3.39,0.4
Climbing perch,7.94,3.18,0.4
Climbing perch,9.73,3.32,0.34
Climbing perch,9.83,3.35,0.34
Climbing perch,9.3,3.17,0.34
Climbing perch,7.68,3.41,0.44
Climbing perch,6.85,3.26,0.48
Climbing perch,8.39,3.26,0.39
Climbing perch,8.77,3.34,0.38
Climbing perch,8.74,3.32,0.38
Climbing perch,6.87,3.23,0.47
Climbing perch,8.31,3.35,0.4
Climbing perch,9.34,3.18,0.34
Climbing perch,7.23,3.31,0.46
Climbing perch,7.33,3.45,0.47
Climbing perch,6.7,3.22,0.48
Climbing perch,7.77,3.06,0.39
Climbing perch,6.79,3.18,0.47
Climbing perch,7.22,3.28,0.45
Climbing perch,8.54,3.08,0.36
Climbing perch,7.41,3.11,0.42
Climbing perch,6.63,3.18,0.48
Climbing perch,7.2,3.47,0.48
Climbing perch,7.31,3.26,0.45
Climbing perch,8.94,3.29,0.37
Climbing perch,7.06,3.29,0.47
Climbing perch,9.4,3.44,0.37
Climbing perch,7.35,3.29,0.45
Climbing perch,8.58,3.24,0.38
Climbing perch,7.17,3.34,0.47
Climbing perch,9.41,3.31,0.35
Climbing perch,8.41,3.12,0.37
Climbing perch,7.01,3.25,0.46
Climbing perch,6.54,3.35,0.51
Climbing perch,7.08,3.25,0.46
Climbing perch,8.26,3.18,0.39
Climbing perch,8.1,3.12,0.39
Climbing perch,7.02,3.25,0.46
Climbing perch,8.15,3.27,0.4
Climbing perch,7.77,3.46,0.44
Climbing perch,9.58,3.29,0.34
Climbing perch,8.72,3.22,0.37
Climbing perch,8.58,3.44,0.4
Climbing perch,8.04,3.29,0.41
Climbing perch,7.53,3.06,0.41
Climbing perch,7.75,3.32,0.43
Climbing perch,8.41,3.24,0.38
Climbing perch,7.64,3.19,0.42
Climbing perch,10.19,3.42,0.34
Climbing perch,7.18,3.41,0.48
Climbing perch,10.58,3.38,0.32
Climbing perch,8.22,3.31,0.4
Climbing perch,8.34,3.4,0.41
Climbing perch,9.99,3.42,0.34
Climbing perch,8.57,3.25,0.38
Climbing perch,8.74,3.22,0.37
Climbing perch,7.3,3.38,0.46
Climbing perch,8.49,3.23,0.38
Climbing perch,8.62,3.24,0.38
Climbing perch,6.79,3.4,0.5
Climbing perch,9.59,3.35,0.35
Climbing perch,6.57,3.29,0.5
Climbing perch,7.9,3.33,0.42
Climbing perch,7.67,3.34,0.44
Climbing perch,9.62,3.23,0.34
Climbing perch,7.57,3.09,0.41
Climbing perch,8.21,3.31,0.4
Climbing perch,7.06,3.02,0.43
Climbing perch,9.57,3.33,0.35
Climbing perch,8.45,3.26,0.39
Climbing perch,6.98,3.34,0.48
Climbing perch,6.53,3.34,0.51
Climbing perch,6.68,3.23,0.48
Climbing perch,7.84,3.16,0.4
Climbing perch,7.34,3.16,0.43
Climbing perch,8.73,3.36,0.39
Climbing perch,8.08,3.29,0.41
Climbing perch,8.27,3.33,0.4
Climbing perch,7.92,3.26,0.41
Climbing perch,7.03,3.23,0.46
Climbing perch,6.7,3.14,0.47
Climbing perch,7.19,3.14,0.44
Climbing perch,10.76,3.2,0.3
Climbing perch,9.97,3.58,0.36
Climbing perch,6.5,3.17,0.49
Climbing perch,8.34,3.19,0.38
Climbing perch,7.44,3.26,0.44
Climbing perch,8.98,3.28,0.37
Climbing perch,7.21,3.12,0.43
Climbing perch,6.9,3.22,0.47
Climbing perch,7.82,3.16,0.4
Climbing perch,7.64,3.22,0.42
Climbing perch,9.44,3.39,0.36
Climbing perch,7.07,3.11,0.44
Climbing perch,9.59,3.31,0.35
Climbing perch,8.63,3.26,0.38
Climbing perch,8.16,3.36,0.41
Climbing perch,7.61,3.35,0.44
Climbing perch,6.84,3.34,0.49
Climbing perch,10.71,3.42,0.32
Climbing perch,6.9,3.14,0.45
Climbing perch,7.53,3.13,0.42
Climbing perch,8.86,3.35,0.38
Climbing perch,8.77,3.36,0.38
Climbing perch,6.5,3.18,0.49
Climbing perch,9.12,3.35,0.37
Climbing perch,8.36,3.36,0.4
Climbing perch,7.57,3.35,0.44
Climbing perch,7.55,3.16,0.42
Climbing perch,10.59,3.25,0.31
Climbing perch,8.77,3.11,0.35
Climbing perch,7.2,3.33,0.46
Climbing perch,8.94,3.39,0.38
Climbing perch,8.0,3.23,0.4
Climbing perch,7.68,3.15,0.41
Climbing perch,9.27,3.28,0.35
Climbing perch,9.03,3.37,0.37
Climbing perch,6.36,3.25,0.51
Climbing perch,7.85,3.37,0.43
Climbing perch,7.05,3.21,0.45
Climbing perch,9.18,3.43,0.37
Climbing perch,8.64,3.38,0.39
Climbing perch,8.64,3.12,0.36
Climbing perch,7.04,3.37,0.48
Climbing perch,7.29,3.43,0.47
Climbing perch,7.46,3.31,0.44
Climbing perch,9.06,3.29,0.36
Climbing perch,8.78,3.21,0.37
Climbing perch,9.33,3.38,0.36
Climbing perch,7.18,3.15,0.44
Climbing perch,8.25,3.18,0.39
Climbing perch,7.02,3.25,0.46
Climbing perch,9.13,3.43,0.38
Climbing perch,7.99,3.28,0.41
Climbing perch,8.78,3.11,0.35
Climbing perch,8.54,3.33,0.39
Climbing perch,6.51,3.35,0.51
Climbing perch,6.68,3.2,0.48
Climbing perch,8.95,3.3,0.37
Climbing perch,9.35,3.34,0.36
Climbing perch,6.82,3.21,0.47
Climbing perch,8.87,3.29,0.37
Climbing perch,7.55,3.26,0.43
Climbing perch,7.56,3.24,0.43
Climbing perch,8.64,3.41,0.39
Climbing perch,8.92,3.4,0.38
Climbing perch,9.33,3.36,0.36
Climbing perch,8.03,3.34,0.42
Climbing perch,7.61,3.19,0.42
Climbing perch,9.79,3.3,0.34
Climbing perch,9.8,3.24,0.33
Climbing perch,10.42,3.35,0.32
Climbing perch,9.34,3.3,0.35
Climbing perch,9.53,3.25,0.34
Climbing perch,8.95,3.27,0.36
Climbing perch,8.1,3.26,0.4
Climbing perch,7.07,3.27,0.46
